service,file,line,method,path,handler,classification
actuator-service,services/actuator-service/routers/commands.py,25,POST,/command,send_command,legacy_unversioned_business
actuator-service,services/actuator-service/routers/commands.py,70,GET,/commands,list_commands,legacy_unversioned_business
actuator-service,services/actuator-service/routers/health.py,20,GET,/healthz,health,infra
actuator-service,services/actuator-service/routers/health.py,20,GET,/health,health,infra
actuator-service,services/actuator-service/routers/health.py,32,GET,/readyz,readyz,infra
actuator-service,services/actuator-service/routers/metrics.py,18,GET,/idempotency/metrics,idempotency_metrics,legacy_unversioned_business
agriai-engine,services/agriai-engine/main.py,50,GET,/healthz,healthz,infra
agriai-engine,services/agriai-engine/main.py,55,GET,/health,legacy_health,infra
agriai-engine,services/agriai-engine/main.py,60,GET,/readyz,readyz,infra
agriai-engine,services/agriai-engine/main.py,67,GET,/metrics,metrics,infra
agriai-engine,services/agriai-engine/main.py,196,POST,/recommend,recommend,legacy_unversioned_business
agriai-engine,services/agriai-engine/main.py,242,POST,/simulate,simulate,legacy_unversioned_business
agriai-engine,services/agriai-engine/main.py,251,POST,/plan,plan,legacy_unversioned_business
agriai-engine,services/agriai-engine/main.py,261,POST,/replay/verify,replay_verify,legacy_unversioned_business
ai_agronomist,services/ai_agronomist/main.py,113,GET,/healthz,healthz,infra
ai_agronomist,services/ai_agronomist/main.py,118,GET,/healthz/ai-provider,ai_provider_snapshot,infra
ai_agronomist,services/ai_agronomist/main.py,126,GET,/approvals/pending,list_pending_approvals,legacy_unversioned_business
ai_agronomist,services/ai_agronomist/main.py,146,POST,/approvals/approve,approve_tool_request,legacy_unversioned_business
ai_agronomist,services/ai_agronomist/main.py,198,POST,/approvals/deny,deny_tool_request,legacy_unversioned_business
ai_agronomist,services/ai_agronomist/main.py,244,POST,/approvals/resume,resume_approved_tool,legacy_unversioned_business
ai_agronomist,services/ai_agronomist/main.py,288,POST,/prescription/export-preview,prescription_export_preview,legacy_unversioned_business
ai_agronomist,services/ai_agronomist/main.py,304,GET,/metrics,metrics,infra
ai_agronomist,services/ai_agronomist/main.py,323,GET,/readyz,readyz,infra
ai_agronomist,services/ai_agronomist/main.py,360,POST,/query,query,legacy_unversioned_business
ai_agronomist,services/ai_agronomist/main.py,371,POST,/chat,chat,legacy_unversioned_business
ai_agronomist,services/ai_agronomist/main.py,382,POST,/explain,explain,legacy_unversioned_business
ai_agronomist,services/ai_agronomist/main.py,393,POST,/recommend,recommend,legacy_unversioned_business
auth,services/auth/routers/email_verify.py,22,POST,/auth/verify/request,verify_request,legacy_unversioned_business
auth,services/auth/routers/email_verify.py,55,POST,/auth/verify/confirm,verify_confirm,legacy_unversioned_business
auth,services/auth/routers/email_verify.py,97,GET,/auth/verify,verify,legacy_unversioned_business
auth,services/auth/routers/email_verify.py,107,GET,/auth/verify/status,verify_status,legacy_unversioned_business
auth,services/auth/routers/invitations.py,25,POST,/auth/invitations,create_invitation,legacy_unversioned_business
auth,services/auth/routers/invitations.py,84,GET,/auth/invitations,list_invitations,legacy_unversioned_business
auth,services/auth/routers/invitations.py,115,POST,/auth/invitations/accept,accept_invitation,legacy_unversioned_business
auth,services/auth/routers/invitations.py,190,DELETE,/auth/invitations/{invitation_id},revoke_invitation,legacy_unversioned_business
auth,services/auth/routers/mfa.py,19,POST,/auth/mfa/setup,mfa_setup,legacy_unversioned_business
auth,services/auth/routers/mfa.py,66,POST,/auth/mfa/activate,mfa_activate,legacy_unversioned_business
auth,services/auth/routers/mfa.py,136,POST,/auth/mfa/disable,mfa_disable,legacy_unversioned_business
auth,services/auth/routers/ops.py,21,GET,/metrics,metrics,infra
auth,services/auth/routers/ops.py,27,GET,/healthz,health,infra
auth,services/auth/routers/ops.py,27,GET,/health,health,infra
auth,services/auth/routers/ops.py,32,GET,/readyz,readyz,infra
auth,services/auth/routers/password_reset.py,21,POST,/auth/password-reset/request,request_password_reset,legacy_unversioned_business
auth,services/auth/routers/password_reset.py,41,POST,/auth/password-reset/confirm,confirm_password_reset,legacy_unversioned_business
auth,services/auth/routers/registration.py,19,POST,/auth/register,register,legacy_unversioned_business
auth,services/auth/routers/registration.py,71,POST,/auth/change-password,change_password,legacy_unversioned_business
auth,services/auth/routers/session.py,24,POST,/auth/login,login,legacy_unversioned_business
auth,services/auth/routers/session.py,122,POST,/auth/refresh,refresh_token,legacy_unversioned_business
auth,services/auth/routers/session.py,161,POST,/auth/logout,logout,legacy_unversioned_business
auth,services/auth/routers/session.py,201,GET,/auth/me,me,legacy_unversioned_business
auth,services/auth/routers/tenants.py,40,POST,/auth/tenants,provision_tenant,legacy_unversioned_business
auth,services/auth/routers/users.py,22,GET,/auth/users,list_users,legacy_unversioned_business
auth,services/auth/routers/users.py,31,PATCH,/auth/users/{user_id}/role,change_role,legacy_unversioned_business
auth,services/auth/routers/users.py,73,PATCH,/auth/users/{user_id}/deactivate,deactivate_user,legacy_unversioned_business
decision-service,services/decision-service/main.py,150,GET,/healthz,healthz,infra
decision-service,services/decision-service/main.py,155,GET,/readyz,readyz,infra
decision-service,services/decision-service/main.py,169,GET,/v1/cutover/readiness,cutover_readiness,versioned
decision-service,services/decision-service/main.py,179,GET,/contract,contract,infra
decision-service,services/decision-service/main.py,212,POST,/v1/decisions/record,record_decision,versioned
decision-service,services/decision-service/main.py,238,POST,/v1/dispatch/decisions,record_dispatch,versioned
decision-service,services/decision-service/main.py,264,GET,/v1/dispatch/decisions,list_dispatch,versioned
decision-service,services/decision-service/main.py,278,POST,/v1/outcomes/record,record_outcome,versioned
decision-service,services/decision-service/main.py,304,POST,/v1/recommendation-outcomes,record_recommendation_outcome,versioned
decision-service,services/decision-service/main.py,329,POST,/v1/learning/updates,record_learning_update,versioned
decision-service,services/decision-service/main.py,360,GET,/v1/learning/summary,learning_summary,versioned
decision-service,services/decision-service/main.py,374,GET,/v1/decisions,list_decisions,versioned
decision-service,services/decision-service/main.py,403,GET,/v1/fields/{field_id}/lineage,field_lineage,versioned
decision-service,services/decision-service/main.py,419,GET,/v1/outcomes/reconciled,reconciled_outcomes,versioned
decision-service,services/decision-service/main.py,439,GET,/v1/decisions/{decision_id}/lineage,decision_lineage,versioned
edge-inference,services/edge-inference/main.py,168,GET,/healthz,health_check,infra
edge-inference,services/edge-inference/main.py,200,POST,/inference/pest-detect,detect_pest,legacy_unversioned_business
edge-inference,services/edge-inference/main.py,262,POST,/inference/yield-estimate,estimate_yield,legacy_unversioned_business
edge-inference,services/edge-inference/main.py,328,POST,/sync/trigger,trigger_sync,legacy_unversioned_business
edge-inference,services/edge-inference/main.py,360,GET,/capabilities,capabilities,infra
edge-inference,services/edge-inference/main.py,365,GET,/readyz,readyz,infra
field-segmentation,services/field-segmentation/main.py,370,GET,/healthz,healthz,infra
field-segmentation,services/field-segmentation/main.py,375,GET,/health,legacy_health,infra
field-segmentation,services/field-segmentation/main.py,380,GET,/readyz,readyz,infra
field-segmentation,services/field-segmentation/main.py,391,POST,/segment,segment,legacy_unversioned_business
guardrails-engine,services/guardrails-engine/routers/health.py,22,GET,/healthz,healthz,infra
guardrails-engine,services/guardrails-engine/routers/health.py,22,GET,/health,healthz,infra
guardrails-engine,services/guardrails-engine/routers/health.py,27,GET,/readyz,readyz,infra
guardrails-engine,services/guardrails-engine/routers/health.py,46,GET,/metrics,metrics_endpoint,infra
guardrails-engine,services/guardrails-engine/routers/validation.py,22,POST,/validate,validate_action,legacy_unversioned_business
guardrails-engine,services/guardrails-engine/routers/validation.py,36,POST,/approve/{workflow_id},approve_workflow,legacy_unversioned_business
guardrails-engine,services/guardrails-engine/routers/validation.py,56,GET,/workflow/{workflow_id},get_workflow,legacy_unversioned_business
indicators-service,services/indicators-service/main.py,27,GET,/healthz,healthz,infra
indicators-service,services/indicators-service/main.py,32,GET,/health,legacy_health,infra
indicators-service,services/indicators-service/main.py,37,GET,/readyz,ready,infra
indicators-service,services/indicators-service/main.py,50,GET,/capabilities,capabilities,infra
indicators-service,services/indicators-service/main.py,67,GET,/contract,contract,infra
indicators-service,services/indicators-service/main.py,79,POST,/v1/indicators/compute,compute_indicator,versioned
indicators-service,services/indicators-service/main.py,90,GET,/,root,infra
knowledge-graph,services/knowledge-graph/main.py,89,GET,/healthz,healthz,infra
knowledge-graph,services/knowledge-graph/main.py,94,GET,/metrics,metrics,infra
knowledge-graph,services/knowledge-graph/main.py,111,GET,/readyz,readyz,infra
knowledge-graph,services/knowledge-graph/main.py,120,POST,/nodes,upsert_node,legacy_unversioned_business
knowledge-graph,services/knowledge-graph/main.py,128,POST,/edges,upsert_edge,legacy_unversioned_business
knowledge-graph,services/knowledge-graph/main.py,137,GET,/edges,edges,legacy_unversioned_business
knowledge-graph,services/knowledge-graph/main.py,151,POST,/graphql,graphql,graphql_facade
local-ai-rag,services/local-ai-rag/main.py,420,POST,/query,query_endpoint,legacy_unversioned_business
local-ai-rag,services/local-ai-rag/main.py,430,POST,/ingest,ingest_endpoint,legacy_unversioned_business
local-ai-rag,services/local-ai-rag/main.py,482,GET,/healthz,healthz,infra
local-ai-rag,services/local-ai-rag/main.py,500,GET,/health,legacy_health,infra
local-ai-rag,services/local-ai-rag/main.py,505,GET,/readyz,readyz,infra
mcp_servers,services/mcp_servers/generic_context_server.py,122,GET,/healthz,healthz,infra
mcp_servers,services/mcp_servers/generic_context_server.py,127,GET,/readyz,readyz,infra
mcp_servers,services/mcp_servers/generic_context_server.py,134,GET,/mcp/v1/tools,list_tools,legacy_unversioned_business
mcp_servers,services/mcp_servers/generic_context_server.py,151,POST,/mcp/v1/tools/call,call_tool,legacy_unversioned_business
mcp_servers,services/mcp_servers/market_server.py,546,GET,/mcp/v1/tools/list,mcp_tools_list,legacy_unversioned_business
mcp_servers,services/mcp_servers/market_server.py,578,POST,/mcp/v1/tools/call,mcp_tools_call,legacy_unversioned_business
mcp_servers,services/mcp_servers/market_server.py,632,GET,/products,api_search_products,legacy_unversioned_business
mcp_servers,services/mcp_servers/market_server.py,644,GET,/suppliers/{supplier_id},api_get_supplier,legacy_unversioned_business
mcp_servers,services/mcp_servers/market_server.py,649,POST,/procurement,api_create_procurement,legacy_unversioned_business
mcp_servers,services/mcp_servers/market_server.py,655,GET,/procurement/{order_id},api_get_procurement,legacy_unversioned_business
mcp_servers,services/mcp_servers/market_server.py,662,POST,/sales,api_create_sales,legacy_unversioned_business
mcp_servers,services/mcp_servers/market_server.py,667,GET,/sales,api_search_sales,legacy_unversioned_business
mcp_servers,services/mcp_servers/market_server.py,684,GET,/price-history/{category},api_price_history,legacy_unversioned_business
mcp_servers,services/mcp_servers/market_server.py,691,GET,/analytics/{tenant_id},api_analytics,legacy_unversioned_business
mcp_servers,services/mcp_servers/market_server.py,698,GET,/healthz,health,infra
mcp_servers,services/mcp_servers/market_server.py,698,GET,/health,health,infra
mcp_servers,services/mcp_servers/market_server.py,715,GET,/readyz,readyz,infra
mcp_servers,services/mcp_servers/sentinel_hub_server.py,176,GET,/mcp/v1/tools,list_tools,legacy_unversioned_business
mcp_servers,services/mcp_servers/sentinel_hub_server.py,239,POST,/mcp/v1/tools/call,call_tool,legacy_unversioned_business
mcp_servers,services/mcp_servers/sentinel_hub_server.py,384,GET,/healthz,healthz,infra
mcp_servers,services/mcp_servers/sentinel_hub_server.py,384,GET,/health,healthz,infra
mcp_servers,services/mcp_servers/sentinel_hub_server.py,389,GET,/readyz,readyz,infra
mcp_servers,services/mcp_servers/weather_server.py,62,GET,/mcp/v1/tools,list_tools,legacy_unversioned_business
mcp_servers,services/mcp_servers/weather_server.py,125,POST,/mcp/v1/tools/call,call_tool,legacy_unversioned_business
mcp_servers,services/mcp_servers/weather_server.py,292,GET,/healthz,healthz,infra
mcp_servers,services/mcp_servers/weather_server.py,292,GET,/health,healthz,infra
mcp_servers,services/mcp_servers/weather_server.py,297,GET,/readyz,readyz,infra
mcp_servers,services/mcp_servers/wofost_server.py,51,GET,/mcp/v1/tools,list_tools,legacy_unversioned_business
mcp_servers,services/mcp_servers/wofost_server.py,114,POST,/mcp/v1/tools/call,call_tool,legacy_unversioned_business
mcp_servers,services/mcp_servers/wofost_server.py,283,GET,/healthz,healthz,infra
mcp_servers,services/mcp_servers/wofost_server.py,283,GET,/health,healthz,infra
mcp_servers,services/mcp_servers/wofost_server.py,288,GET,/readyz,readyz,infra
odoo-bridge,services/odoo-bridge/routers/catalog.py,17,GET,/erp/provider,erp_provider_status,legacy_unversioned_business
odoo-bridge,services/odoo-bridge/routers/catalog.py,33,GET,/config,get_config,legacy_unversioned_business
odoo-bridge,services/odoo-bridge/routers/catalog.py,50,GET,/logs,get_logs,legacy_unversioned_business
odoo-bridge,services/odoo-bridge/routers/catalog.py,71,GET,/products,list_erp_products,legacy_unversioned_business
odoo-bridge,services/odoo-bridge/routers/catalog.py,78,GET,/suppliers,list_erp_suppliers,legacy_unversioned_business
odoo-bridge,services/odoo-bridge/routers/health.py,20,GET,/healthz,health,infra
odoo-bridge,services/odoo-bridge/routers/health.py,20,GET,/health,health,infra
odoo-bridge,services/odoo-bridge/routers/health.py,32,GET,/readyz,readyz,infra
odoo-bridge,services/odoo-bridge/routers/sync.py,19,POST,/sync,trigger_sync,legacy_unversioned_business
odoo-bridge,services/odoo-bridge/routers/webhooks.py,21,POST,/webhook/odoo,odoo_webhook,legacy_unversioned_business
rag-retrieval,services/rag-retrieval/main.py,55,GET,/healthz,healthz,infra
rag-retrieval,services/rag-retrieval/main.py,60,GET,/metrics,metrics,infra
rag-retrieval,services/rag-retrieval/main.py,73,GET,/readyz,readyz,infra
rag-retrieval,services/rag-retrieval/main.py,90,POST,/ingest,ingest,legacy_unversioned_business
rag-retrieval,services/rag-retrieval/main.py,115,POST,/search,search,legacy_unversioned_business
raster-service,services/raster-service/routers/analysis.py,30,POST,/zones/classify,zones_classify,legacy_unversioned_business
raster-service,services/raster-service/routers/analysis.py,48,POST,/change/detect,change_detect,legacy_unversioned_business
raster-service,services/raster-service/routers/analysis.py,85,POST,/fvc/compute,fvc_compute,legacy_unversioned_business
raster-service,services/raster-service/routers/analysis.py,111,POST,/sar/rvi,sar_rvi_endpoint,legacy_unversioned_business
raster-service,services/raster-service/routers/analysis.py,135,POST,/terrain/slope,terrain_slope,legacy_unversioned_business
raster-service,services/raster-service/routers/analysis.py,153,GET,/cog/validate,cog_validate,legacy_unversioned_business
raster-service,services/raster-service/routers/analysis.py,168,POST,/salinity/classify,salinity_classify,legacy_unversioned_business
raster-service,services/raster-service/routers/analysis.py,175,POST,/salinity/calibrate,salinity_calibrate,legacy_unversioned_business
raster-service,services/raster-service/routers/cdse_tiles.py,42,GET,/v1/fields/{field_id}/cdse-tiles/{z}/{x}/{y}.png,field_cdse_tile,versioned
raster-service,services/raster-service/routers/cdse_tiles.py,117,GET,/v1/fields/{field_id}/cdse-thumbnail.png,field_cdse_thumbnail,versioned
raster-service,services/raster-service/routers/cdse_tiles.py,167,GET,/v1/fields/{field_id}/cdse-tilejson,field_cdse_tilejson,versioned
raster-service,services/raster-service/routers/fields.py,88,POST,/v1/fields/{field_id}/process-from-stac,process_from_stac,versioned
raster-service,services/raster-service/routers/fields.py,173,POST,/v1/fields/{field_id}/imagery/backfill,field_historical_backfill,versioned
raster-service,services/raster-service/routers/fields.py,555,GET,/v1/fields/{field_id}/imagery/backfill/{run_id},field_backfill_run_status,versioned
raster-service,services/raster-service/routers/fields.py,573,POST,/v1/fields/{field_id}/geometry/versions,create_field_geometry_version,versioned
raster-service,services/raster-service/routers/fields.py,602,POST,/v1/fields/analytics/geoparquet/export,export_field_analytics_geoparquet,versioned
raster-service,services/raster-service/routers/fields.py,654,POST,/v1/fields/{field_id}/process-cdse,process_cdse,versioned
raster-service,services/raster-service/routers/fields.py,704,GET,/v1/fields/{field_id}/indicator-grid,field_indicator_grid,versioned
raster-service,services/raster-service/routers/fields.py,738,GET,/v1/fields/{field_id}/pixel,field_pixel_value,versioned
raster-service,services/raster-service/routers/fields.py,817,POST,/v1/fields/{field_id}/prescription,field_prescription,versioned
