capability_id,kind,owner,entrypoints,consumers,derived_from,curated
actuator-service.command,command,actuator-service,POST /v1/command,frontend,route,False
actuator-service.commands,query,actuator-service,GET /v1/commands,frontend,route,False
actuator-service.idempotency.metrics,query,actuator-service,GET /v1/idempotency/metrics,frontend,route,False
agriai-engine.plan,command,agriai-engine,POST /v1/plan,,route,False
agriai-engine.recommend,command,agriai-engine,POST /v1/recommend,,route,False
agriai-engine.replay.verify,command,agriai-engine,POST /v1/replay/verify,,route,False
agriai-engine.simulate,command,agriai-engine,POST /v1/simulate,,route,False
ai_agronomist.approvals.approve,command,ai_agronomist,POST /v1/approvals/approve,frontend,route,False
ai_agronomist.approvals.deny,command,ai_agronomist,POST /v1/approvals/deny,frontend,route,False
ai_agronomist.approvals.pending,query,ai_agronomist,GET /v1/approvals/pending,frontend,route,False
ai_agronomist.approvals.resume,command,ai_agronomist,POST /v1/approvals/resume,frontend,route,False
ai_agronomist.chat,command,ai_agronomist,POST /v1/chat,frontend,route,False
ai_agronomist.explain,command,ai_agronomist,POST /v1/explain,frontend,route,False
ai_agronomist.healthz.ai-provider,query,ai_agronomist,GET /healthz/ai-provider,frontend,route,False
ai_agronomist.prescription.export-preview,command,ai_agronomist,POST /v1/prescription/export-preview,frontend,route,False
ai_agronomist.query,command,ai_agronomist,POST /v1/query,frontend,route,False
ai_agronomist.recommend,command,ai_agronomist,POST /v1/recommend,frontend,route,False
auth.auth.change-password,command,auth,POST /auth/change-password,frontend,route,False
auth.auth.edge-sign,query,auth,GET /auth/edge-sign,frontend,route,False
auth.auth.invitations,mixed,auth,GET /auth/invitations|POST /auth/invitations,frontend,route,False
auth.auth.invitations.accept,command,auth,POST /auth/invitations/accept,frontend,route,False
auth.auth.invitations.invitation_id,command,auth,DELETE /auth/invitations/{invitation_id},frontend,route,False
auth.auth.login,command,auth,POST /auth/login,frontend,route,False
auth.auth.logout,command,auth,POST /auth/logout,frontend,route,False
auth.auth.me,query,auth,GET /auth/me,frontend,route,False
auth.auth.mfa.activate,command,auth,POST /auth/mfa/activate,frontend,route,False
auth.auth.mfa.disable,command,auth,POST /auth/mfa/disable,frontend,route,False
auth.auth.mfa.setup,command,auth,POST /auth/mfa/setup,frontend,route,False
auth.auth.password-reset.confirm,command,auth,POST /auth/password-reset/confirm,frontend,route,False
auth.auth.password-reset.request,command,auth,POST /auth/password-reset/request,frontend,route,False
auth.auth.refresh,command,auth,POST /auth/refresh,frontend,route,False
auth.auth.register,command,auth,POST /auth/register,frontend,route,False
auth.auth.tenants,command,auth,POST /auth/tenants,frontend,route,False
auth.auth.users,query,auth,GET /auth/users,frontend,route,False
auth.auth.users.user_id,command,auth,PATCH /auth/users/{user_id}/deactivate|PATCH /auth/users/{user_id}/role,frontend,route,False
auth.auth.verify,query,auth,GET /auth/verify,frontend,route,False
auth.auth.verify.confirm,command,auth,POST /auth/verify/confirm,frontend,route,False
auth.auth.verify.request,command,auth,POST /auth/verify/request,frontend,route,False
auth.auth.verify.status,query,auth,GET /auth/verify/status,frontend,route,False
decision-service.activation.evidence-receipts,command,decision-service,POST /v1/activation/evidence-receipts,,route,False
decision-service.activation.evidence-receipts.evidence_id,command,decision-service,POST /v1/activation/evidence-receipts/{evidence_id}/revoke,,route,False
decision-service.activation.irr_f01_reservation,query,decision-service,GET /v1/activation/irr_f01_reservation,,route,False
decision-service.activation.irr_f01_reservation.begin,command,decision-service,POST /v1/activation/irr_f01_reservation/begin,,route,False
decision-service.activation.irr_f01_reservation.complete,command,decision-service,POST /v1/activation/irr_f01_reservation/complete,,route,False
decision-service.activation.irr_f01_reservation.enforce,command,decision-service,POST /v1/activation/irr_f01_reservation/enforce,,route,False
decision-service.activation.irr_f01_reservation.probe,query,decision-service,GET /v1/activation/irr_f01_reservation/probe,,route,False
decision-service.activation.irr_f01_reservation.reset,command,decision-service,POST /v1/activation/irr_f01_reservation/reset,,route,False
decision-service.activation.irr_f01_reservation.revoke,command,decision-service,POST /v1/activation/irr_f01_reservation/revoke,,route,False
decision-service.activation.satellite_cdse,query,decision-service,GET /v1/activation/satellite_cdse,,route,False
decision-service.activation.satellite_cdse.begin,command,decision-service,POST /v1/activation/satellite_cdse/begin,,route,False
decision-service.activation.satellite_cdse.complete,command,decision-service,POST /v1/activation/satellite_cdse/complete,,route,False
decision-service.activation.satellite_cdse.probe,query,decision-service,GET /v1/activation/satellite_cdse/probe,,route,False
decision-service.activation.satellite_cdse.reset,command,decision-service,POST /v1/activation/satellite_cdse/reset,,route,False
decision-service.activation.satellite_cdse.revoke,command,decision-service,POST /v1/activation/satellite_cdse/revoke,,route,False
decision-service.activation.satellite_cdse.source,query,decision-service,GET /v1/activation/satellite_cdse/source,,route,False
decision-service.context-snapshots,command,decision-service,POST /v1/context-snapshots,,route,False
decision-service.context-snapshots.snapshot_id,query,decision-service,GET /v1/context-snapshots/{snapshot_id},,route,False
decision-service.cutover.readiness,query,decision-service,GET /v1/cutover/readiness,,route,False
decision-service.decisions,query,decision-service,GET /v1/decisions,,route,False
decision-service.decisions.decision_id.agronomic-evidence,query,decision-service,GET /v1/decisions/{decision_id}/agronomic-evidence,,route,False
decision-service.decisions.decision_id.execution-plan,command,decision-service,POST /v1/decisions/{decision_id}/execution-plan,,route,False
decision-service.decisions.decision_id.lineage,query,decision-service,GET /v1/decisions/{decision_id}/lineage,,route,False
decision-service.decisions.decision_id.review,command,decision-service,POST /v1/decisions/{decision_id}/review,,route,False
decision-service.decisions.record,command,decision-service,POST /v1/decisions/record,,route,False
decision-service.decisions.review-queue,query,decision-service,GET /v1/decisions/review-queue,,route,False
decision-service.dispatch-authorizations.dispatch_authorization_id.execute,command,decision-service,POST /v1/dispatch-authorizations/{dispatch_authorization_id}/execute,,route,False
decision-service.dispatch.decisions,mixed,decision-service,GET /v1/dispatch/decisions|POST /v1/dispatch/decisions,,route,False
decision-service.evidence.vegetation-snapshots,command,decision-service,POST /v1/evidence/vegetation-snapshots,,route,False
decision-service.execution-plans.execution_plan_id.authorize-dispatch,command,decision-service,POST /v1/execution-plans/{execution_plan_id}/authorize-dispatch,,route,False
decision-service.execution-requests,query,decision-service,GET /v1/execution-requests,,route,False
decision-service.execution-requests.execution_request_id.claim,command,decision-service,POST /v1/execution-requests/{execution_request_id}/claim,,route,False
decision-service.execution-requests.execution_request_id.receipt,command,decision-service,POST /v1/execution-requests/{execution_request_id}/receipt,,route,False
decision-service.execution-requests.execution_request_id.verify-outcome,command,decision-service,POST /v1/execution-requests/{execution_request_id}/verify-outcome,,route,False
decision-service.execution-requests.recovery,query,decision-service,GET /v1/execution-requests/recovery,,route,False
decision-service.fields.field_id.lineage,query,decision-service,GET /v1/fields/{field_id}/lineage,,route,False
decision-service.learning.activation-commands.activation_command_id,command,decision-service,POST /v1/learning/activation-commands/{activation_command_id}/claim|POST /v1/learning/activation-commands/{activation_command_id}/receipt,,route,False
decision-service.learning.activation-receipts.activation_receipt_id,command,decision-service,POST /v1/learning/activation-receipts/{activation_receipt_id}/rollback-command|POST /v1/learning/activation-receipts/{activation_receipt_id}/rollout-plan|POST /v1/learning/activation-receipts/{activation_receipt_id}/verification,,route,False
decision-service.learning.activation-requests,command,decision-service,POST /v1/learning/activation-requests,,route,False
decision-service.learning.activation-requests.activation_request_id,command,decision-service,POST /v1/learning/activation-requests/{activation_request_id}/review,,route,False
decision-service.learning.calibration-dataset,query,decision-service,GET /v1/learning/calibration-dataset,,route,False
decision-service.learning.evaluation-runs,command,decision-service,POST /v1/learning/evaluation-runs,,route,False
decision-service.learning.models.model_id,query,decision-service,GET /v1/learning/models/{model_id}/active-state,,route,False
decision-service.learning.monitoring-snapshots,command,decision-service,POST /v1/learning/monitoring-snapshots,,route,False
decision-service.learning.promotion-decisions,command,decision-service,POST /v1/learning/promotion-decisions,,route,False
decision-service.learning.reconcile-evidence,command,decision-service,POST /v1/learning/reconcile-evidence,,route,False
decision-service.learning.retraining-requests,command,decision-service,POST /v1/learning/retraining-requests,,route,False
decision-service.learning.retraining-requests.retraining_request_id,command,decision-service,POST /v1/learning/retraining-requests/{retraining_request_id}/dispatch-receipt,,route,False
decision-service.learning.rollback-commands.rollback_command_id,command,decision-service,POST /v1/learning/rollback-commands/{rollback_command_id}/claim|POST /v1/learning/rollback-commands/{rollback_command_id}/receipt,,route,False
decision-service.learning.rollout-plans.rollout_plan_id,command,decision-service,POST /v1/learning/rollout-plans/{rollout_plan_id}/receipt,,route,False
decision-service.learning.runtime-schedules,command,decision-service,POST /v1/learning/runtime-schedules,,route,False
decision-service.learning.runtime-work,query,decision-service,GET /v1/learning/runtime-work,,route,False
decision-service.learning.runtime-workers.worker_id,mixed,decision-service,GET /v1/learning/runtime-workers/{worker_id}/tenants|POST /v1/learning/runtime-workers/{worker_id}/tenants,,route,False
decision-service.learning.summary,query,decision-service,GET /v1/learning/summary,,route,False
decision-service.learning.updates,command,decision-service,POST /v1/learning/updates,,route,False
decision-service.outcomes.outcome_id.learning-attribution,command,decision-service,POST /v1/outcomes/{outcome_id}/learning-attribution,,route,False
decision-service.outcomes.reconciled,query,decision-service,GET /v1/outcomes/reconciled,,route,False
decision-service.outcomes.record,command,decision-service,POST /v1/outcomes/record,,route,False
decision-service.recommendation-outcomes,command,decision-service,POST /v1/recommendation-outcomes,,route,False
decision-service.reservation-dispatch-intents,command,decision-service,POST /v1/reservation-dispatch-intents,,route,False
edge-inference.inference.pest-detect,command,edge-inference,POST /v1/inference/pest-detect,frontend,route,False
edge-inference.inference.yield-estimate,command,edge-inference,POST /v1/inference/yield-estimate,frontend,route,False
edge-inference.sync.trigger,command,edge-inference,POST /v1/sync/trigger,frontend,route,False
erp-bridge.config,query,erp-bridge,GET /config,,route,False
erp-bridge.erp.provider,query,erp-bridge,GET /erp/provider,,route,False
erp-bridge.logs,query,erp-bridge,GET /logs,,route,False
erp-bridge.products,query,erp-bridge,GET /v1/products,,route,False
erp-bridge.readyz.capabilities,query,erp-bridge,GET /readyz/capabilities,,route,False
erp-bridge.suppliers,query,erp-bridge,GET /suppliers,,route,False
erp-bridge.sync,command,erp-bridge,POST /sync,,route,False
erp-bridge.webhook.odoo,command,erp-bridge,POST /webhook/odoo,,route,False
field-management-service.internal.fields,query,field-management-service,GET /internal/fields,,route,False
field-management-service.internal.fields.field_id,query,field-management-service,GET /internal/fields/{field_id},,route,False
field-segmentation.segment,command,field-segmentation,POST /v1/segment,frontend,route,False
guardrails-engine.approve.workflow_id,command,guardrails-engine,POST /v1/approve/{workflow_id},frontend,route,False
guardrails-engine.validate,command,guardrails-engine,POST /v1/validate,frontend,route,False
guardrails-engine.workflow.workflow_id,query,guardrails-engine,GET /v1/workflow/{workflow_id},frontend,route,False
indicators-service.fields.field_id.observation-timeline,query,indicators-service,GET /v1/fields/{field_id}/observation-timeline,frontend,route,False
indicators-service.fields.field_id.observations,query,indicators-service,GET /v1/fields/{field_id}/observations,frontend,route,False
indicators-service.indicators.catalog,query,indicators-service,GET /v1/indicators/catalog,frontend,route,False
indicators-service.indicators.compute,command,indicators-service,POST /v1/indicators/compute,frontend,route,False
indicators-service.indicators.ownership,query,indicators-service,GET /v1/indicators/ownership,frontend,route,False
knowledge-graph.edges,mixed,knowledge-graph,GET /v1/edges|POST /v1/edges,,route,False
knowledge-graph.graphql,command,knowledge-graph,POST /graphql,,route,False
knowledge-graph.nodes,command,knowledge-graph,POST /v1/nodes,,route,False
local-ai-rag.ingest,command,local-ai-rag,POST /v1/ingest,,route,False
local-ai-rag.query,command,local-ai-rag,POST /v1/query,,route,False
mcp_servers.<dynamic>,command,mcp_servers,POST <dynamic>,,route,False
mcp_servers.analytics.tenant_id,query,mcp_servers,GET /analytics/{tenant_id},,route,False
mcp_servers.mcp.tools,query,mcp_servers,GET /v1/mcp/tools,,route,False
mcp_servers.mcp.tools.call,command,mcp_servers,POST /v1/mcp/tools/call,,route,False
mcp_servers.mcp.tools.list,query,mcp_servers,GET /v1/mcp/tools/list,,route,False
mcp_servers.price-history.category,query,mcp_servers,GET /price-history/{category},,route,False
mcp_servers.procurement,command,mcp_servers,POST /procurement,,route,False
mcp_servers.procurement.order_id,query,mcp_servers,GET /procurement/{order_id},,route,False
mcp_servers.products,query,mcp_servers,GET /v1/products,,route,False
mcp_servers.sales,mixed,mcp_servers,GET /sales|POST /sales,,route,False
mcp_servers.suppliers.supplier_id,query,mcp_servers,GET /suppliers/{supplier_id},,route,False
rag-retrieval.ingest,command,rag-retrieval,POST /v1/ingest,,route,False
rag-retrieval.search,command,rag-retrieval,POST /v1/search,,route,False
