component_id,component_kind,deployment_unit,domain,authority_kind,source_path,aliases,compose_services,tables_owned,wired,tested
actuator-service,service,sahool-actuator-service,execution,system_of_record,services/actuator-service,sahool-actuator-service,sahool-actuator-service,7,True,True
agriai-engine,service,sahool-agriai-engine,simulation-experimental,system_of_record,services/agriai-engine,sahool-agriai-engine,sahool-agriai-engine,21,False,True
ai_agronomist,service,,agents,stateless_compute,services/ai_agronomist,,,0,True,True
auth,service,sahool-auth,identity,stateless_compute,services/auth,sahool-auth,sahool-auth,0,True,True
decision-service,service,sahool-decision-service,decision-governance,system_of_record,services/decision-service,sahool-decision-service,sahool-decision-service,42,True,True
edge-inference,service,,edge,stateless_compute,services/edge-inference,,,0,True,True
erp-bridge,service,sahool-erp-bridge,erp-projection,system_of_record,services/odoo-bridge,odoo-bridge|sahool-erp-bridge,sahool-erp-bridge,15,True,True
field-management-service,service,,fields-internal,system_of_record,services/field-management-service,,,32,True,True
field-segmentation,service,sahool-field-segmentation,fields-boundary,stateless_compute,services/field-segmentation,sahool-field-segmentation,sahool-field-segmentation,0,True,True
frontend,frontend,,user-interface,presentation,frontend,,,0,,
gis-workflow-service,tool_bundle,,gis-publication,system_of_record,services/gis-workflow-service,,,2,,True
guardrails-engine,service,sahool-guardrails-engine,decision-governance,system_of_record,services/guardrails-engine,sahool-guardrails-engine,sahool-guardrails-engine,2,True,True
indicators-service,service,sahool-indicators-service,indicators,stateless_compute,services/indicators-service,sahool-indicators-service,sahool-indicators-service,0,True,True
knowledge-graph,service,sahool-knowledge-graph,knowledge,stateless_compute,services/knowledge-graph,sahool-knowledge-graph,sahool-knowledge-graph,0,True,True
local-ai-rag,service,sahool-local-ai-rag,knowledge,stateless_compute,services/local-ai-rag,sahool-local-ai-rag,sahool-local-ai-rag,0,True,True
mcp_servers,service,,agents-mcp,stateless_compute,services/mcp_servers,,,0,True,True
mobile,mobile,,user-interface,presentation,mobile,,,0,,
model-registry-adapter,worker_adapter,,decision-governance,stateless_compute,services/model-registry-adapter,,,0,True,True
qdrant-seed,init_job,sahool-qdrant-seed,knowledge,stateless_compute,services/qdrant-seed,sahool-qdrant-seed,sahool-qdrant-seed,0,,True
rag-retrieval,service,sahool-rag-retrieval,knowledge,system_of_record,services/rag-retrieval,sahool-rag-retrieval,sahool-rag-retrieval,2,True,True
raster-service,service,sahool-raster-service,remote-sensing-truth,system_of_record,services/raster-service,sahool-raster-service,sahool-raster-service,13,True,True
raster-tiler-service,service,raster-tiler-service,remote-sensing-truth,stateless_compute,services/raster-tiler-service,,raster-tiler-service,0,True,False
remote-sensing-workspace-bff,bff,sahool-remote-sensing-workspace-bff,remote-sensing-workspace,stateless_compute,services/remote-sensing-workspace-bff,sahool-remote-sensing-workspace-bff,sahool-remote-sensing-workspace-bff,0,True,True
sahool-platform,service,sahool-platform,platform-core,system_of_record,services/sahool-platform,,sahool-platform,195,True,True
sam2-inference,service,sahool-sam2-inference,fields-boundary,stateless_compute,services/sam2-inference,sahool-sam2-inference,sahool-sam2-inference,0,True,False
scout-ingest-service,service,,ground-ingest,system_of_record,services/scout-ingest-service,,,11,True,True
soil-service,service,sahool-soil-service,soil,system_of_record,services/soil-service,sahool-soil-service,sahool-soil-service,32,True,True
supervisor-agent,service,sahool-supervisor-agent,agents,stateless_compute,services/supervisor-agent,sahool-supervisor-agent,sahool-supervisor-agent,0,True,True
tts-service,service,sahool-tts-service,media,stateless_compute,services/tts-service,sahool-tts-service,sahool-tts-service,0,True,True
vegetation-analysis-service,service,,vegetation-interpretation,system_of_record,services/vegetation-analysis-service,,,1,True,True
video-processor,service,sahool-video-processor,media,stateless_compute,services/video-processor,sahool-video-processor,sahool-video-processor,0,True,True
weather-polygon-worker,worker,sahool-weather-polygon-worker,weather-truth,stateless_compute,services/weather-polygon-worker,sahool-weather-polygon-worker,sahool-weather-polygon-worker,0,True,False
weather-service,service,sahool-weather-service,weather-truth,system_of_record,services/weather-service,sahool-weather-service,sahool-weather-service,8,True,True
weather-signal-engine,worker,sahool-weather-signal-engine,weather-truth,stateless_compute,services/weather-signal-engine,sahool-weather-signal-engine,sahool-weather-signal-engine,0,True,False
