table,created_in,manifest_position,has_tenant_id,rls_enabled,rls_forced,policy_count,write_policy_with_check,tenant_rls_gap,code_reader_count,code_writer_count
activities,v35_activities.sql,39,True,False,False,0,False,True,3,1
actuation_killswitch,v133_actuation_killswitch.sql,139,True,True,True,1,True,False,1,0
actuator_command_dedup,v81_actuator_command_dedup.sql,86,True,True,True,1,True,False,1,1
actuator_command_outbox,v118_phase9_autonomous_farm_os.sql,124,True,True,True,1,False,False,0,1
admin_boundaries,v200_admin_boundaries.sql,205,False,False,False,0,False,False,1,1
admin_boundaries_source,v200_admin_boundaries.sql,205,False,False,False,0,False,False,1,1
agent_authority_envelopes,v111_phase11_federated_agent_runtime.sql,117,True,True,True,1,True,False,0,1
agent_conflict_resolutions,v111_phase11_federated_agent_runtime.sql,117,True,True,True,1,True,False,0,1
agent_federation_cycles,v120_phase11_federated_agents.sql,126,True,True,True,1,False,False,0,1
agent_proposals,v120_phase11_federated_agents.sql,126,True,True,True,1,False,False,0,1
agent_queries,v9_new_tables.sql,3,True,False,False,0,False,True,0,0
agent_reputation_scores,v111_phase11_federated_agent_runtime.sql,117,True,True,True,1,True,False,0,0
agent_tool_audit,v126_agent_tool_audit.sql,132,True,True,True,1,True,False,0,0
alerts,v36_alerts.sql,40,True,False,False,0,False,True,11,3
approval_workflows,v9_new_tables.sql,3,True,False,False,0,False,True,1,1
as_applied_irrigation_observations,v178_canonical_as_applied_irrigation_truth.sql,183,True,True,True,1,True,False,1,0
as_applied_irrigation_receipts,v178_canonical_as_applied_irrigation_truth.sql,183,True,True,True,1,True,False,1,0
as_applied_irrigation_runs,v178_canonical_as_applied_irrigation_truth.sql,183,True,True,True,1,True,False,1,0
audit_log,v9_auth_improvements.sql,2,False,True,True,2,True,False,0,2
automation_rules,v20_automation_tables.sql,24,True,False,False,0,False,True,1,1
autonomous_event_store,v107_phase9_10_event_drift_hardening.sql,113,True,True,True,1,True,False,0,0
autonomous_execution_plan,v118_phase9_autonomous_farm_os.sql,124,True,True,True,1,False,False,0,1
autonomous_recommendations,v116_enterprise_gis_phase7.sql,122,True,True,True,1,True,False,0,0
backfill_run_items,v144_backfill_runs.sql,149,True,True,True,1,True,False,3,4
backfill_runs,v144_backfill_runs.sql,149,True,True,True,1,True,False,3,3
boundary_extraction_jobs,v115_precision_agriculture_phase6.sql,121,True,True,True,1,True,False,0,0
break_glass_grants,v90_break_glass.sql,95,False,True,True,1,True,False,1,1
calibration_audit,v84_calibration_audit.sql,89,True,True,True,1,True,False,1,1
calibration_evidence,v86_calibration_evidence_trigger.sql,91,True,True,True,1,True,False,0,0
calibration_override,v80_calibration_override.sql,85,True,True,True,1,True,False,1,1
canonical_as_applied_irrigation_truths,v178_canonical_as_applied_irrigation_truth.sql,183,True,True,True,1,True,False,0,1
canonical_controller_capabilities,v176_controller_edge_adapter_framework.sql,181,True,False,False,0,False,True,0,0
canonical_energy_capabilities,v174_energy_agricultural_microgrid_capability.sql,179,True,False,False,0,False,True,0,0
canonical_hydraulic_capabilities,v171_pump_hydraulic_network_capability.sql,176,True,False,False,0,False,True,1,0
canonical_irrigation_capability_graphs,v175_unified_irrigation_capability_graph.sql,180,True,False,False,0,False,True,1,0
canonical_irrigation_machine_capabilities,v172_irrigation_machine_capability.sql,177,True,False,False,0,False,True,0,0
canonical_nutrient_ledgers,v226_canonical_nutrient_ledger.sql,223,True,True,True,1,True,False,1,1
canonical_phenology_states,v224_canonical_phenology_state.sql,221,True,True,True,1,True,False,1,2
canonical_projection_requests,v227_decision_learning_runtime.sql,224,True,True,True,1,True,False,1,1
canonical_root_zone_profiles,v169_canonical_root_zone_hydraulic_profile.sql,174,True,True,True,1,True,False,0,1
canonical_salinity_states,v225_canonical_salinity_state.sql,222,True,True,True,1,True,False,1,1
canonical_sprinkler_runoff_capabilities,v173_sprinkler_runoff_capability.sql,178,True,False,False,0,False,True,0,0
canonical_well_capabilities,v170_water_source_well_digital_twin.sql,175,True,False,False,0,False,True,0,0
command_verification_loop,v107_phase9_10_event_drift_hardening.sql,113,True,True,True,1,True,False,0,0
commands,v10_command_store_lifecycle.sql,12,True,True,False,1,False,True,3,1
connector_registry,v121_marketplace_ecosystem.sql,127,False,True,True,1,True,False,0,0
crop_kc_timeseries,v76_crop_kc_timeseries.sql,81,True,True,True,1,True,False,1,1
crop_root_policies,v169_canonical_root_zone_hydraulic_profile.sql,174,True,True,True,1,True,False,1,0
crop_rotations,v26_master_data.sql,30,True,False,False,0,False,True,1,1
crop_stages,init_v8.sql,0,True,True,False,0,False,True,0,0
crop_stress_events,v153_crop_stress_memory_store.sql,158,True,True,True,1,True,False,1,1
crop_stress_memory_snapshots,v153_crop_stress_memory_store.sql,158,True,True,True,1,True,False,0,1
