id,order,stage,primary_owner,evidence_count,runtime_verified
stage:evidence,1,evidence,sahool-platform,504,false
stage:candidate,2,candidate,sahool-platform,455,false
stage:decision,3,decision,sahool-platform,159,false
stage:review,4,review,sahool-platform,231,false
stage:plan,5,plan,decision-service,32,false
stage:authorization,6,authorization,sahool-platform,115,false
stage:request,7,request,decision-service,27,false
stage:receipt,8,receipt,decision-service,31,false
stage:outcome,9,outcome,sahool-platform,42,false
stage:learning,10,learning,sahool-platform,263,false
