capability_id,domain,declared_maturity,assessed_maturity,maturity_delta,alignment,runtime_verified,production_certified,reasons
DEC-001,decision,3,2,-1,declared_above_evidence,False,False,repository_implementation_present;exposed_surface_and_test_evidence;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
DEC-002,decision,3,3,0,aligned,False,False,repository_implementation_present;exposed_surface_and_test_evidence;api_unit_and_integration_evidence;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
DEC-003,decision,3,1,-2,declared_above_evidence,False,False,repository_implementation_present;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
DEC-004,decision,3,3,0,aligned,False,False,repository_implementation_present;exposed_surface_and_test_evidence;api_unit_and_integration_evidence;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
DEC-005,decision,3,3,0,aligned,False,False,repository_implementation_present;exposed_surface_and_test_evidence;api_unit_and_integration_evidence;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
DEC-006,decision,3,3,0,aligned,False,False,repository_implementation_present;exposed_surface_and_test_evidence;api_unit_and_integration_evidence;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
DEC-007,decision,3,3,0,aligned,False,False,repository_implementation_present;exposed_surface_and_test_evidence;api_unit_and_integration_evidence;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
DEC-008,decision,3,2,-1,declared_above_evidence,False,False,repository_implementation_present;exposed_surface_and_test_evidence;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
DEC-009,decision,3,2,-1,declared_above_evidence,False,False,repository_implementation_present;exposed_surface_and_test_evidence;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
DEC-010,decision,3,3,0,aligned,False,False,repository_implementation_present;exposed_surface_and_test_evidence;api_unit_and_integration_evidence;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
FM-001,farm_management,3,2,-1,declared_above_evidence,False,False,repository_implementation_present;exposed_surface_and_test_evidence;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
FM-002,farm_management,3,3,0,aligned,False,False,repository_implementation_present;exposed_surface_and_test_evidence;api_unit_and_integration_evidence;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
FM-003,farm_management,3,3,0,aligned,False,False,repository_implementation_present;exposed_surface_and_test_evidence;api_unit_and_integration_evidence;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
FM-004,farm_management,3,2,-1,declared_above_evidence,False,False,repository_implementation_present;exposed_surface_and_test_evidence;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
FM-005,farm_management,3,2,-1,declared_above_evidence,False,False,repository_implementation_present;exposed_surface_and_test_evidence;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
FM-006,farm_management,3,1,-2,declared_above_evidence,False,False,repository_implementation_present;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
FM-007,farm_management,3,2,-1,declared_above_evidence,False,False,repository_implementation_present;exposed_surface_and_test_evidence;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
FM-008,farm_management,3,3,0,aligned,False,False,repository_implementation_present;exposed_surface_and_test_evidence;api_unit_and_integration_evidence;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
GIS-001,gis,3,1,-2,declared_above_evidence,False,False,repository_implementation_present;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
GIS-002,gis,3,2,-1,declared_above_evidence,False,False,repository_implementation_present;exposed_surface_and_test_evidence;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
GIS-003,gis,3,2,-1,declared_above_evidence,False,False,repository_implementation_present;exposed_surface_and_test_evidence;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
GIS-004,gis,3,2,-1,declared_above_evidence,False,False,repository_implementation_present;exposed_surface_and_test_evidence;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
INT-001,farm_management,3,2,-1,declared_above_evidence,False,False,repository_implementation_present;exposed_surface_and_test_evidence;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
INT-002,farm_management,3,2,-1,declared_above_evidence,False,False,repository_implementation_present;exposed_surface_and_test_evidence;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
INT-003,irrigation,3,2,-1,declared_above_evidence,False,False,repository_implementation_present;exposed_surface_and_test_evidence;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
INT-004,precision,1,1,0,aligned,False,False,documentation_only
IRR-001,irrigation,3,1,-2,declared_above_evidence,False,False,repository_implementation_present;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
IRR-002,irrigation,3,1,-2,declared_above_evidence,False,False,repository_implementation_present;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
IRR-003,irrigation,0,1,1,evidence_above_declared,False,False,repository_implementation_present;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
IRR-004,irrigation,3,3,0,aligned,False,False,repository_implementation_present;exposed_surface_and_test_evidence;api_unit_and_integration_evidence;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
IRR-005,irrigation,3,2,-1,declared_above_evidence,False,False,repository_implementation_present;exposed_surface_and_test_evidence;runtime_not_verified_caps_maturity_at_3;production_not_certified_caps_maturity_below_5
