confidence,owner,kind,symbol,file,line,reference_count,action,decorated_route
high,decision-service,function,_memberships,services/decision-service/decision_sor_role_certify.py,163,0,review_before_delete,False
high,decision-service,function,_service_token_guard,services/decision-service/main.py,152,0,review_before_delete,False
high,raster-service,function,_scene_band_mapping,services/raster-service/raster_main_compat_exports.py,92,0,review_before_delete,False
high,raster-service,function,_bbox_from_geom,services/raster-service/raster_main_compat_exports.py,97,0,review_before_delete,False
high,raster-service,function,_evict_field_layers,services/raster-service/raster_main_runtime.py,46,0,review_before_delete,False
high,raster-service,function,_require_layer_tenant,services/raster-service/raster_main_runtime.py,89,0,review_before_delete,False
high,raster-service,function,_require_layer_tenant_authorized,services/raster-service/raster_main_runtime.py,93,0,review_before_delete,False
high,raster-service,function,_clean_cache,services/raster-service/test_c7_latest_cache_provenance.py,40,0,review_before_delete,False
high,raster-service,function,_clean_cache,services/raster-service/test_cdse_empty_raster_not_cached.py,70,0,review_before_delete,False
high,sahool-platform,function,_apply_tenant_guc,services/sahool-platform/api/main.py,645,0,review_before_delete,False
high,sahool-platform,function,_record_to_json,services/sahool-platform/api/routers/field_ai_context.py,59,0,review_before_delete,False
high,sahool-platform,function,_conflict_changed_fields,services/sahool-platform/api/routers/fields.py,1235,0,review_before_delete,False
high,sahool-platform,function,_weather_tile_interpolation_payload,services/sahool-platform/api/routers/weather.py,417,0,review_before_delete,False
high,sahool-platform,function,_parse_series_hours,services/sahool-platform/api/routers/weather.py,1192,0,review_before_delete,False
high,sahool-platform,function,_time_key_from_hour,services/sahool-platform/api/routers/weather.py,1206,0,review_before_delete,False
high,sahool-platform,function,_best_operation_frame,services/sahool-platform/api/routers/weather.py,1561,0,review_before_delete,False
high,sahool-platform,function,_unavailable_tile_response,services/sahool-platform/api/routers/weather.py,2384,0,review_before_delete,False
high,sahool-platform,function,_irrigation_validate,services/sahool-platform/api/workflow_definitions.py,182,0,review_before_delete,False
high,sahool-platform,function,_irrigation_schedule,services/sahool-platform/api/workflow_definitions.py,188,0,review_before_delete,False
high,sahool-platform,function,_irrigation_execute,services/sahool-platform/api/workflow_definitions.py,194,0,review_before_delete,False
high,sahool-platform,function,_irrigation_verify,services/sahool-platform/api/workflow_definitions.py,200,0,review_before_delete,False
high,sahool-platform,function,_irrigation_real_validate,services/sahool-platform/api/workflow_definitions.py,239,0,review_before_delete,False
high,sahool-platform,function,_irrigation_real_schedule,services/sahool-platform/api/workflow_definitions.py,289,0,review_before_delete,False
high,sahool-platform,function,_irrigation_real_execute,services/sahool-platform/api/workflow_definitions.py,355,0,review_before_delete,False
high,sahool-platform,function,_irrigation_real_execute_compensate,services/sahool-platform/api/workflow_definitions.py,405,0,review_before_delete,False
high,sahool-platform,function,_irrigation_real_verify,services/sahool-platform/api/workflow_definitions.py,419,0,review_before_delete,False
high,sahool-platform,function,_irrigation_real_approval_gate,services/sahool-platform/api/workflow_definitions.py,463,0,review_before_delete,False
high,sahool-platform,function,_irrigation_real_suspend_until_approved,services/sahool-platform/api/workflow_definitions.py,477,0,review_before_delete,False
high,sahool-platform,function,_min_conf,services/sahool-platform/core/crop_inference.py,40,0,review_before_delete,False
high,sahool-platform,function,_patch_engine_gdd,services/sahool-platform/tests/test_crop_decision_endpoint.py,24,0,review_before_delete,False
high,sahool-platform,function,_patch_engine_gdd,services/sahool-platform/tests/test_crop_twin_compose_endpoint.py,24,0,review_before_delete,False
high,sahool-platform,function,_patch_engine_gdd,services/sahool-platform/tests/test_crop_twin_server_spectral.py,20,0,review_before_delete,False
high,sahool-platform,function,_patch_engine_gdd,services/sahool-platform/tests/test_decision_lineage_endpoints.py,31,0,review_before_delete,False
high,sahool-platform,function,_reset_breaker,services/sahool-platform/tests/test_openmeteo_circuit.py,21,0,review_before_delete,False
high,sahool-platform,function,_patch_engine_gdd,services/sahool-platform/tests/test_profit_aware_decision_endpoint.py,25,0,review_before_delete,False
high,sam2-inference,function,_startup,services/sam2-inference/main.py,19,0,review_before_delete,False
high,soil-service,function,_tenant_context_mw,services/soil-service/main.py,107,0,review_before_delete,False
high,shared,function,_normalize_feature_vector,shared/precision_agriculture/phase6_intelligence.py,221,0,review_before_delete,False
medium,agriai-engine,function,salt_engine_applies,services/agriai-engine/aquacrop_adapter.py,56,0,review_before_delete,False
medium,agriai-engine,function,aquacrop_salt_capability_report,services/agriai-engine/aquacrop_adapter.py,267,0,review_before_delete,False
medium,agriai-engine,function,canonicalize,services/agriai-engine/replay.py,70,0,review_before_delete,False
medium,agriai-engine,function,simulation_capability_report,services/agriai-engine/simulation_capability.py,93,0,review_before_delete,False
medium,agriai-engine,function,teardown_module,services/agriai-engine/tests/test_production_readiness_truth.py,60,0,review_before_delete,False
medium,ai-agronomist,class,ABTestingRuntime,services/ai_agronomist/ab_testing.py,1,0,review_before_delete,False
medium,ai-agronomist,function,store_backend_name,services/ai_agronomist/agent_stores.py,161,0,review_before_delete,False
medium,ai-agronomist,function,build_evidence_response,services/ai_agronomist/ai_evidence_runtime.py,594,0,review_before_delete,False
medium,ai-agronomist,class,ChaosRuntime,services/ai_agronomist/chaos_runtime.py,1,0,review_before_delete,False
medium,ai-agronomist,class,ComplianceValidator,services/ai_agronomist/compliance_validator.py,1,0,review_before_delete,False
medium,ai-agronomist,function,has_decision_keys,services/ai_agronomist/decision_contracts.py,58,0,review_before_delete,False
medium,ai-agronomist,class,DecisionMetrics,services/ai_agronomist/decision_metrics.py,1,0,review_before_delete,False
medium,ai-agronomist,class,InMemoryFeedbackRepository,services/ai_agronomist/feedback_repository.py,32,0,review_before_delete,False
medium,ai-agronomist,function,new_feedback_id,services/ai_agronomist/feedback_repository.py,73,0,review_before_delete,False
medium,ai-agronomist,function,select_backend_name,services/ai_agronomist/field_boundary_backends.py,256,0,review_before_delete,False
medium,ai-agronomist,class,ReviewRepository,services/ai_agronomist/human_review_repository.py,43,0,review_before_delete,False
medium,ai-agronomist,class,PolicyEngine,services/ai_agronomist/policy_engine.py,11,0,review_before_delete,False
medium,ai-agronomist,function,tool_allowed,services/ai_agronomist/policy_envelope.py,163,0,review_before_delete,False
medium,ai-agronomist,function,build_provider_tools,services/ai_agronomist/provider_tooling.py,153,0,review_before_delete,False
medium,ai-agronomist,function,extract_tool_calls,services/ai_agronomist/provider_tooling.py,182,0,review_before_delete,False
