owner,method,path,handler,file,line
actuator-service,POST,/v1/command,send_command,services/actuator-service/routers/commands.py,25
actuator-service,GET,/v1/commands,list_commands,services/actuator-service/routers/commands.py,70
actuator-service,GET,/healthz,health,services/actuator-service/routers/health.py,20
actuator-service,GET,/readyz,readyz,services/actuator-service/routers/health.py,32
actuator-service,GET,/v1/idempotency/metrics,idempotency_metrics,services/actuator-service/routers/metrics.py,18
agriai-engine,GET,/healthz,healthz,services/agriai-engine/main.py,55
agriai-engine,GET,/health,legacy_health,services/agriai-engine/main.py,60
agriai-engine,GET,/readyz,readyz,services/agriai-engine/main.py,65
agriai-engine,GET,/metrics,metrics,services/agriai-engine/main.py,90
agriai-engine,POST,/v1/recommend,recommend,services/agriai-engine/main.py,238
agriai-engine,POST,/v1/simulate,simulate,services/agriai-engine/main.py,298
agriai-engine,POST,/v1/plan,plan,services/agriai-engine/main.py,311
agriai-engine,POST,/v1/replay/verify,replay_verify,services/agriai-engine/main.py,327
ai-agronomist,GET,/healthz,healthz,services/ai_agronomist/main.py,113
ai-agronomist,GET,/healthz/ai-provider,ai_provider_snapshot,services/ai_agronomist/main.py,118
ai-agronomist,GET,/v1/approvals/pending,list_pending_approvals,services/ai_agronomist/main.py,126
ai-agronomist,POST,/v1/approvals/approve,approve_tool_request,services/ai_agronomist/main.py,146
ai-agronomist,POST,/v1/approvals/deny,deny_tool_request,services/ai_agronomist/main.py,198
ai-agronomist,POST,/v1/approvals/resume,resume_approved_tool,services/ai_agronomist/main.py,244
ai-agronomist,POST,/v1/prescription/export-preview,prescription_export_preview,services/ai_agronomist/main.py,288
ai-agronomist,GET,/metrics,metrics,services/ai_agronomist/main.py,304
ai-agronomist,GET,/readyz,readyz,services/ai_agronomist/main.py,323
ai-agronomist,POST,/v1/query,query,services/ai_agronomist/main.py,360
ai-agronomist,POST,/v1/chat,chat,services/ai_agronomist/main.py,371
ai-agronomist,POST,/v1/explain,explain,services/ai_agronomist/main.py,382
ai-agronomist,POST,/v1/recommend,recommend,services/ai_agronomist/main.py,393
auth,POST,/v1/auth/verify/request,verify_request,services/auth/routers/email_verify.py,22
auth,POST,/v1/auth/verify/confirm,verify_confirm,services/auth/routers/email_verify.py,55
auth,GET,/v1/auth/verify,verify,services/auth/routers/email_verify.py,97
auth,GET,/v1/auth/verify/status,verify_status,services/auth/routers/email_verify.py,107
auth,POST,/v1/auth/invitations,create_invitation,services/auth/routers/invitations.py,25
auth,GET,/v1/auth/invitations,list_invitations,services/auth/routers/invitations.py,84
auth,POST,/v1/auth/invitations/accept,accept_invitation,services/auth/routers/invitations.py,115
auth,DELETE,/v1/auth/invitations/{invitation_id},revoke_invitation,services/auth/routers/invitations.py,195
auth,POST,/v1/auth/mfa/setup,mfa_setup,services/auth/routers/mfa.py,19
auth,POST,/v1/auth/mfa/activate,mfa_activate,services/auth/routers/mfa.py,66
auth,POST,/v1/auth/mfa/disable,mfa_disable,services/auth/routers/mfa.py,136
auth,GET,/metrics,metrics,services/auth/routers/ops.py,21
auth,GET,/healthz,health,services/auth/routers/ops.py,27
auth,GET,/readyz,readyz,services/auth/routers/ops.py,32
auth,POST,/v1/auth/password-reset/request,request_password_reset,services/auth/routers/password_reset.py,21
auth,POST,/v1/auth/password-reset/confirm,confirm_password_reset,services/auth/routers/password_reset.py,41
auth,POST,/v1/auth/register,register,services/auth/routers/registration.py,19
auth,POST,/v1/auth/change-password,change_password,services/auth/routers/registration.py,74
auth,GET,/v1/auth/edge-sign,edge_sign,services/auth/routers/season_edge_sign.py,41
auth,POST,/v1/auth/login,login,services/auth/routers/session.py,24
auth,POST,/v1/auth/refresh,refresh_token,services/auth/routers/session.py,125
auth,POST,/v1/auth/logout,logout,services/auth/routers/session.py,167
auth,GET,/v1/auth/me,me,services/auth/routers/session.py,211
auth,POST,/v1/auth/tenants,provision_tenant,services/auth/routers/tenants.py,40
auth,GET,/v1/auth/users,list_users,services/auth/routers/users.py,22
auth,PATCH,/v1/auth/users/{user_id}/role,change_role,services/auth/routers/users.py,31
auth,PATCH,/v1/auth/users/{user_id}/deactivate,deactivate_user,services/auth/routers/users.py,73
decision-service,GET,/healthz,healthz,services/decision-service/main.py,508
decision-service,GET,/readyz,readyz,services/decision-service/main.py,513
decision-service,GET,/v1/cutover/readiness,cutover_readiness,services/decision-service/main.py,550
decision-service,GET,/contract,contract,services/decision-service/main.py,560
decision-service,POST,/v1/evidence/vegetation-snapshots,create_vegetation_snapshot,services/decision-service/main.py,593
decision-service,POST,/v1/decisions/record,record_decision,services/decision-service/main.py,611
decision-service,GET,/v1/decisions/review-queue,review_queue,services/decision-service/main.py,676
decision-service,POST,/v1/decisions/{decision_id}/review,review_candidate,services/decision-service/main.py,712
decision-service,POST,/v1/decisions/{decision_id}/execution-plan,build_execution_plan,services/decision-service/main.py,795
decision-service,POST,/v1/dispatch/decisions,record_dispatch,services/decision-service/main.py,845
decision-service,GET,/v1/dispatch/decisions,list_dispatch,services/decision-service/main.py,904
decision-service,POST,/v1/outcomes/record,record_outcome,services/decision-service/main.py,918
decision-service,POST,/v1/recommendation-outcomes,record_recommendation_outcome,services/decision-service/main.py,944
decision-service,POST,/v1/learning/updates,record_learning_update,services/decision-service/main.py,969
decision-service,GET,/v1/learning/summary,learning_summary,services/decision-service/main.py,1000
decision-service,GET,/v1/decisions,list_decisions,services/decision-service/main.py,1014
decision-service,GET,/v1/fields/{field_id}/lineage,field_lineage,services/decision-service/main.py,1043
decision-service,GET,/v1/outcomes/reconciled,reconciled_outcomes,services/decision-service/main.py,1059
decision-service,GET,/v1/decisions/{decision_id}/agronomic-evidence,decision_agronomic_evidence,services/decision-service/main.py,1095
decision-service,GET,/v1/decisions/{decision_id}/lineage,decision_lineage,services/decision-service/main.py,1113
decision-service,POST,/v1/execution-plans/{execution_plan_id}/authorize-dispatch,authorize_execution_plan_dispatch,services/decision-service/main.py,1140
decision-service,POST,/v1/dispatch-authorizations/{dispatch_authorization_id}/execute,execute_authorized_dispatch,services/decision-service/main.py,1208
decision-service,POST,/v1/reservation-dispatch-intents,ingest_reservation_dispatch_intent,services/decision-service/main.py,1267
decision-service,POST,/v1/activation/evidence-receipts,store_activation_evidence,services/decision-service/main.py,1397
decision-service,POST,/v1/activation/evidence-receipts/{evidence_id}/revoke,revoke_activation_evidence,services/decision-service/main.py,1471
decision-service,POST,/v1/activation/irr_f01_reservation/enforce,activation_enforce,services/decision-service/main.py,1514
decision-service,POST,/v1/activation/irr_f01_reservation/begin,activation_begin,services/decision-service/main.py,1539
decision-service,POST,/v1/activation/irr_f01_reservation/complete,activation_complete,services/decision-service/main.py,1550
