category,name,kind,line_start,line_end,loc,decorators
auth_jwt_permissions,_refuse_hs256_in_production,FunctionDef,95,101,7,
misc_bootstrap_compatibility,_is_production,FunctionDef,110,116,7,
misc_bootstrap_compatibility,_lifespan,AsyncFunctionDef,171,187,17,asynccontextmanager
auth_jwt_permissions,_warn_weak_dev_jwt_secret,AsyncFunctionDef,198,209,12,
db_tenant_rls_bootstrap,_init_db_pool,AsyncFunctionDef,224,259,36,
auth_jwt_permissions,_assert_db_role_rls_safe,AsyncFunctionDef,262,294,33,
idempotency_outbox_events,_start_scheduler,AsyncFunctionDef,297,510,214,
idempotency_outbox_events,_start_outbox_worker,AsyncFunctionDef,521,555,35,
idempotency_outbox_events,_stop_outbox_worker,AsyncFunctionDef,558,574,17,
idempotency_outbox_events,_stop_scheduler,AsyncFunctionDef,577,580,4,
db_tenant_rls_bootstrap,_close_db_pool,AsyncFunctionDef,583,588,6,
db_tenant_rls_bootstrap,get_pool,FunctionDef,591,598,8,
db_tenant_rls_bootstrap,tenant_connection,AsyncFunctionDef,602,625,24,asynccontextmanager
db_tenant_rls_bootstrap,_apply_tenant_guc,AsyncFunctionDef,628,640,13,
idempotency_outbox_events,_emit_domain_event,AsyncFunctionDef,671,712,42,
idempotency_outbox_events,_idem_key,FunctionDef,721,738,18,
idempotency_outbox_events,_idempotent,AsyncFunctionDef,741,770,30,
misc_bootstrap_compatibility,_rate_client_key,FunctionDef,813,822,10,
misc_bootstrap_compatibility,_prune_rate_buckets,FunctionDef,825,828,4,
misc_bootstrap_compatibility,_build_rate_redis,FunctionDef,831,851,21,
misc_bootstrap_compatibility,_rate_check_redis,FunctionDef,857,874,18,
middleware_and_rate_limit,rate_limit_middleware,AsyncFunctionDef,878,918,41,app.middleware
misc_bootstrap_compatibility,_clamp_list_window,FunctionDef,1018,1034,17,
misc_bootstrap_compatibility,_build_versioned_update,FunctionDef,1041,1063,23,
auth_jwt_permissions,_normalize_role,FunctionDef,1091,1095,5,
auth_jwt_permissions,create_token,FunctionDef,1098,1110,13,
auth_jwt_permissions,_build_denylist,FunctionDef,1123,1149,27,
auth_jwt_permissions,get_current_user,FunctionDef,1155,1191,37,
auth_jwt_permissions,require_permission,FunctionDef,1194,1224,31,
parsers_mappers_serializers,_centroid_from_bbox,FunctionDef,1257,1269,13,
parsers_mappers_serializers,_reverse_geocode,FunctionDef,1272,1300,29,
db_tenant_rls_bootstrap,_db_unavailable,FunctionDef,1306,1316,11,
db_tenant_rls_bootstrap,_assert_field_in_tenant,AsyncFunctionDef,1343,1347,5,
idempotency_outbox_events,_activity_event_type,FunctionDef,1402,1410,9,
parsers_mappers_serializers,_row_to_activity,FunctionDef,1413,1438,26,
parsers_mappers_serializers,_row_to_task,FunctionDef,1453,1472,20,
parsers_mappers_serializers,_row_to_soil_test,FunctionDef,1488,1513,26,
parsers_mappers_serializers,_row_to_prefs,FunctionDef,1553,1574,22,
field_task_alert_helpers,_log_alert_deliveries,AsyncFunctionDef,1584,1643,60,
field_task_alert_helpers,_evaluate_field_alerts_persist,AsyncFunctionDef,1656,1837,182,
parsers_mappers_serializers,_parse_date,FunctionDef,1848,1858,11,
parsers_mappers_serializers,_parse_iso_utc,FunctionDef,1976,1989,14,
idempotency_outbox_events,_issue_tags_from_event,FunctionDef,2037,2057,21,
field_task_alert_helpers,_build_walk_plan,FunctionDef,2088,2113,26,
workflow_compatibility,_get_workflow_store,FunctionDef,2465,2487,23,
workflow_compatibility,_rebuild_pydantic_models,FunctionDef,2495,2505,11,
