service,file,line,method,path,function
actuator-service,services/actuator-service/routers/commands.py,25,POST,/command,send_command
actuator-service,services/actuator-service/routers/commands.py,70,GET,/commands,list_commands
actuator-service,services/actuator-service/routers/health.py,20,GET,/healthz,health
actuator-service,services/actuator-service/routers/health.py,20,GET,/health,health
actuator-service,services/actuator-service/routers/health.py,32,GET,/readyz,readyz
actuator-service,services/actuator-service/routers/metrics.py,18,GET,/idempotency/metrics,idempotency_metrics
agriai-engine,services/agriai-engine/main.py,50,GET,/healthz,healthz
agriai-engine,services/agriai-engine/main.py,55,GET,/health,legacy_health
agriai-engine,services/agriai-engine/main.py,60,GET,/readyz,readyz
agriai-engine,services/agriai-engine/main.py,67,GET,/metrics,metrics
agriai-engine,services/agriai-engine/main.py,196,POST,/recommend,recommend
agriai-engine,services/agriai-engine/main.py,242,POST,/simulate,simulate
agriai-engine,services/agriai-engine/main.py,251,POST,/plan,plan
agriai-engine,services/agriai-engine/main.py,261,POST,/replay/verify,replay_verify
ai_agronomist,services/ai_agronomist/main.py,113,GET,/healthz,healthz
ai_agronomist,services/ai_agronomist/main.py,118,GET,/healthz/ai-provider,ai_provider_snapshot
ai_agronomist,services/ai_agronomist/main.py,126,GET,/approvals/pending,list_pending_approvals
ai_agronomist,services/ai_agronomist/main.py,146,POST,/approvals/approve,approve_tool_request
ai_agronomist,services/ai_agronomist/main.py,198,POST,/approvals/deny,deny_tool_request
ai_agronomist,services/ai_agronomist/main.py,244,POST,/approvals/resume,resume_approved_tool
ai_agronomist,services/ai_agronomist/main.py,288,POST,/prescription/export-preview,prescription_export_preview
ai_agronomist,services/ai_agronomist/main.py,304,GET,/metrics,metrics
ai_agronomist,services/ai_agronomist/main.py,323,GET,/readyz,readyz
ai_agronomist,services/ai_agronomist/main.py,360,POST,/query,query
ai_agronomist,services/ai_agronomist/main.py,371,POST,/chat,chat
ai_agronomist,services/ai_agronomist/main.py,382,POST,/explain,explain
ai_agronomist,services/ai_agronomist/main.py,393,POST,/recommend,recommend
auth,services/auth/routers/email_verify.py,22,POST,/auth/verify/request,verify_request
auth,services/auth/routers/email_verify.py,55,POST,/auth/verify/confirm,verify_confirm
auth,services/auth/routers/email_verify.py,97,GET,/auth/verify,verify
auth,services/auth/routers/email_verify.py,107,GET,/auth/verify/status,verify_status
auth,services/auth/routers/invitations.py,25,POST,/auth/invitations,create_invitation
auth,services/auth/routers/invitations.py,84,GET,/auth/invitations,list_invitations
auth,services/auth/routers/invitations.py,115,POST,/auth/invitations/accept,accept_invitation
auth,services/auth/routers/invitations.py,190,DELETE,/auth/invitations/{invitation_id},revoke_invitation
auth,services/auth/routers/mfa.py,19,POST,/auth/mfa/setup,mfa_setup
auth,services/auth/routers/mfa.py,66,POST,/auth/mfa/activate,mfa_activate
auth,services/auth/routers/mfa.py,136,POST,/auth/mfa/disable,mfa_disable
auth,services/auth/routers/ops.py,21,GET,/metrics,metrics
auth,services/auth/routers/ops.py,27,GET,/healthz,health
auth,services/auth/routers/ops.py,27,GET,/health,health
auth,services/auth/routers/ops.py,32,GET,/readyz,readyz
auth,services/auth/routers/password_reset.py,21,POST,/auth/password-reset/request,request_password_reset
auth,services/auth/routers/password_reset.py,41,POST,/auth/password-reset/confirm,confirm_password_reset
auth,services/auth/routers/registration.py,19,POST,/auth/register,register
auth,services/auth/routers/registration.py,71,POST,/auth/change-password,change_password
auth,services/auth/routers/session.py,24,POST,/auth/login,login
auth,services/auth/routers/session.py,122,POST,/auth/refresh,refresh_token
auth,services/auth/routers/session.py,161,POST,/auth/logout,logout
auth,services/auth/routers/session.py,201,GET,/auth/me,me
auth,services/auth/routers/tenants.py,40,POST,/auth/tenants,provision_tenant
auth,services/auth/routers/users.py,22,GET,/auth/users,list_users
auth,services/auth/routers/users.py,31,PATCH,/auth/users/{user_id}/role,change_role
auth,services/auth/routers/users.py,73,PATCH,/auth/users/{user_id}/deactivate,deactivate_user
decision-service,services/decision-service/main.py,150,GET,/healthz,healthz
decision-service,services/decision-service/main.py,155,GET,/readyz,readyz
decision-service,services/decision-service/main.py,169,GET,/v1/cutover/readiness,cutover_readiness
decision-service,services/decision-service/main.py,179,GET,/contract,contract
decision-service,services/decision-service/main.py,212,POST,/v1/decisions/record,record_decision
decision-service,services/decision-service/main.py,238,POST,/v1/dispatch/decisions,record_dispatch
decision-service,services/decision-service/main.py,264,GET,/v1/dispatch/decisions,list_dispatch
decision-service,services/decision-service/main.py,278,POST,/v1/outcomes/record,record_outcome
decision-service,services/decision-service/main.py,304,POST,/v1/recommendation-outcomes,record_recommendation_outcome
decision-service,services/decision-service/main.py,329,POST,/v1/learning/updates,record_learning_update
decision-service,services/decision-service/main.py,360,GET,/v1/learning/summary,learning_summary
decision-service,services/decision-service/main.py,374,GET,/v1/decisions,list_decisions
decision-service,services/decision-service/main.py,403,GET,/v1/fields/{field_id}/lineage,field_lineage
decision-service,services/decision-service/main.py,419,GET,/v1/outcomes/reconciled,reconciled_outcomes
decision-service,services/decision-service/main.py,439,GET,/v1/decisions/{decision_id}/lineage,decision_lineage
edge-inference,services/edge-inference/main.py,168,GET,/healthz,health_check
edge-inference,services/edge-inference/main.py,200,POST,/inference/pest-detect,detect_pest
edge-inference,services/edge-inference/main.py,262,POST,/inference/yield-estimate,estimate_yield
edge-inference,services/edge-inference/main.py,328,POST,/sync/trigger,trigger_sync
edge-inference,services/edge-inference/main.py,360,GET,/capabilities,capabilities
edge-inference,services/edge-inference/main.py,365,GET,/readyz,readyz
field-segmentation,services/field-segmentation/main.py,370,GET,/healthz,healthz
field-segmentation,services/field-segmentation/main.py,375,GET,/health,legacy_health
field-segmentation,services/field-segmentation/main.py,380,GET,/readyz,readyz
field-segmentation,services/field-segmentation/main.py,391,POST,/segment,segment
guardrails-engine,services/guardrails-engine/routers/health.py,22,GET,/healthz,healthz
guardrails-engine,services/guardrails-engine/routers/health.py,22,GET,/health,healthz
guardrails-engine,services/guardrails-engine/routers/health.py,27,GET,/readyz,readyz
guardrails-engine,services/guardrails-engine/routers/health.py,46,GET,/metrics,metrics_endpoint
guardrails-engine,services/guardrails-engine/routers/validation.py,22,POST,/validate,validate_action
guardrails-engine,services/guardrails-engine/routers/validation.py,36,POST,/approve/{workflow_id},approve_workflow
guardrails-engine,services/guardrails-engine/routers/validation.py,56,GET,/workflow/{workflow_id},get_workflow
indicators-service,services/indicators-service/main.py,27,GET,/healthz,healthz
indicators-service,services/indicators-service/main.py,32,GET,/health,legacy_health
indicators-service,services/indicators-service/main.py,37,GET,/readyz,ready
indicators-service,services/indicators-service/main.py,50,GET,/capabilities,capabilities
indicators-service,services/indicators-service/main.py,67,GET,/contract,contract
indicators-service,services/indicators-service/main.py,79,POST,/v1/indicators/compute,compute_indicator
indicators-service,services/indicators-service/main.py,90,GET,/,root
knowledge-graph,services/knowledge-graph/main.py,89,GET,/healthz,healthz
knowledge-graph,services/knowledge-graph/main.py,94,GET,/metrics,metrics
knowledge-graph,services/knowledge-graph/main.py,111,GET,/readyz,readyz
knowledge-graph,services/knowledge-graph/main.py,120,POST,/nodes,upsert_node
knowledge-graph,services/knowledge-graph/main.py,128,POST,/edges,upsert_edge
knowledge-graph,services/knowledge-graph/main.py,137,GET,/edges,edges
knowledge-graph,services/knowledge-graph/main.py,151,POST,/graphql,graphql
local-ai-rag,services/local-ai-rag/main.py,420,POST,/query,query_endpoint
local-ai-rag,services/local-ai-rag/main.py,430,POST,/ingest,ingest_endpoint
local-ai-rag,services/local-ai-rag/main.py,482,GET,/healthz,healthz
local-ai-rag,services/local-ai-rag/main.py,500,GET,/health,legacy_health
local-ai-rag,services/local-ai-rag/main.py,505,GET,/readyz,readyz
mcp_servers,services/mcp_servers/generic_context_server.py,122,GET,/healthz,healthz
mcp_servers,services/mcp_servers/generic_context_server.py,127,GET,/readyz,readyz
mcp_servers,services/mcp_servers/generic_context_server.py,134,GET,/mcp/v1/tools,list_tools
mcp_servers,services/mcp_servers/generic_context_server.py,151,POST,/mcp/v1/tools/call,call_tool
mcp_servers,services/mcp_servers/market_server.py,546,GET,/mcp/v1/tools/list,mcp_tools_list
mcp_servers,services/mcp_servers/market_server.py,578,POST,/mcp/v1/tools/call,mcp_tools_call
mcp_servers,services/mcp_servers/market_server.py,632,GET,/products,api_search_products
mcp_servers,services/mcp_servers/market_server.py,644,GET,/suppliers/{supplier_id},api_get_supplier
mcp_servers,services/mcp_servers/market_server.py,649,POST,/procurement,api_create_procurement
mcp_servers,services/mcp_servers/market_server.py,655,GET,/procurement/{order_id},api_get_procurement
mcp_servers,services/mcp_servers/market_server.py,662,POST,/sales,api_create_sales
mcp_servers,services/mcp_servers/market_server.py,667,GET,/sales,api_search_sales
mcp_servers,services/mcp_servers/market_server.py,684,GET,/price-history/{category},api_price_history
mcp_servers,services/mcp_servers/market_server.py,691,GET,/analytics/{tenant_id},api_analytics
mcp_servers,services/mcp_servers/market_server.py,698,GET,/healthz,health
mcp_servers,services/mcp_servers/market_server.py,698,GET,/health,health
mcp_servers,services/mcp_servers/market_server.py,715,GET,/readyz,readyz
mcp_servers,services/mcp_servers/sentinel_hub_server.py,176,GET,/mcp/v1/tools,list_tools
mcp_servers,services/mcp_servers/sentinel_hub_server.py,239,POST,/mcp/v1/tools/call,call_tool
mcp_servers,services/mcp_servers/sentinel_hub_server.py,384,GET,/healthz,healthz
mcp_servers,services/mcp_servers/sentinel_hub_server.py,384,GET,/health,healthz
mcp_servers,services/mcp_servers/sentinel_hub_server.py,389,GET,/readyz,readyz
mcp_servers,services/mcp_servers/shared/streamable_http.py,33,POST,<dynamic>,stream_endpoint
mcp_servers,services/mcp_servers/weather_server.py,70,GET,/mcp/v1/tools,list_tools
mcp_servers,services/mcp_servers/weather_server.py,133,POST,/mcp/v1/tools/call,call_tool
mcp_servers,services/mcp_servers/weather_server.py,306,GET,/healthz,healthz
mcp_servers,services/mcp_servers/weather_server.py,306,GET,/health,healthz
mcp_servers,services/mcp_servers/weather_server.py,311,GET,/readyz,readyz
mcp_servers,services/mcp_servers/wofost_server.py,51,GET,/mcp/v1/tools,list_tools
mcp_servers,services/mcp_servers/wofost_server.py,114,POST,/mcp/v1/tools/call,call_tool
mcp_servers,services/mcp_servers/wofost_server.py,283,GET,/healthz,healthz
mcp_servers,services/mcp_servers/wofost_server.py,283,GET,/health,healthz
mcp_servers,services/mcp_servers/wofost_server.py,288,GET,/readyz,readyz
odoo-bridge,services/odoo-bridge/routers/catalog.py,17,GET,/erp/provider,erp_provider_status
odoo-bridge,services/odoo-bridge/routers/catalog.py,33,GET,/config,get_config
odoo-bridge,services/odoo-bridge/routers/catalog.py,50,GET,/logs,get_logs
odoo-bridge,services/odoo-bridge/routers/catalog.py,71,GET,/products,list_erp_products
odoo-bridge,services/odoo-bridge/routers/catalog.py,78,GET,/suppliers,list_erp_suppliers
odoo-bridge,services/odoo-bridge/routers/health.py,20,GET,/healthz,health
odoo-bridge,services/odoo-bridge/routers/health.py,20,GET,/health,health
odoo-bridge,services/odoo-bridge/routers/health.py,32,GET,/readyz,readyz
odoo-bridge,services/odoo-bridge/routers/sync.py,19,POST,/sync,trigger_sync
odoo-bridge,services/odoo-bridge/routers/webhooks.py,21,POST,/webhook/odoo,odoo_webhook
rag-retrieval,services/rag-retrieval/main.py,55,GET,/healthz,healthz
rag-retrieval,services/rag-retrieval/main.py,60,GET,/metrics,metrics
rag-retrieval,services/rag-retrieval/main.py,73,GET,/readyz,readyz
rag-retrieval,services/rag-retrieval/main.py,90,POST,/ingest,ingest
rag-retrieval,services/rag-retrieval/main.py,115,POST,/search,search
raster-service,services/raster-service/routers/analysis.py,30,POST,/zones/classify,zones_classify
raster-service,services/raster-service/routers/analysis.py,48,POST,/change/detect,change_detect
raster-service,services/raster-service/routers/analysis.py,85,POST,/fvc/compute,fvc_compute
raster-service,services/raster-service/routers/analysis.py,111,POST,/sar/rvi,sar_rvi_endpoint
raster-service,services/raster-service/routers/analysis.py,135,POST,/terrain/slope,terrain_slope
raster-service,services/raster-service/routers/analysis.py,153,GET,/cog/validate,cog_validate
raster-service,services/raster-service/routers/analysis.py,168,POST,/salinity/classify,salinity_classify
raster-service,services/raster-service/routers/analysis.py,175,POST,/salinity/calibrate,salinity_calibrate
raster-service,services/raster-service/routers/cdse_tiles.py,42,GET,/v1/fields/{field_id}/cdse-tiles/{z}/{x}/{y}.png,field_cdse_tile
raster-service,services/raster-service/routers/cdse_tiles.py,117,GET,/v1/fields/{field_id}/cdse-thumbnail.png,field_cdse_thumbnail
