service,file,line,method,path,function,classification
agriai-engine,services/agriai-engine/main.py,55,GET,/healthz,healthz,health
agriai-engine,services/agriai-engine/main.py,60,GET,/health,legacy_health,health
agriai-engine,services/agriai-engine/main.py,65,GET,/readyz,readyz,readiness
agriai-engine,services/agriai-engine/main.py,90,GET,/metrics,metrics,metrics
agriai-engine,services/agriai-engine/main.py,238,POST,/recommend,recommend,business_endpoint
agriai-engine,services/agriai-engine/main.py,298,POST,/simulate,simulate,business_endpoint
agriai-engine,services/agriai-engine/main.py,311,POST,/plan,plan,business_endpoint
agriai-engine,services/agriai-engine/main.py,327,POST,/replay/verify,replay_verify,business_endpoint
ai_agronomist,services/ai_agronomist/main.py,113,GET,/healthz,healthz,health
ai_agronomist,services/ai_agronomist/main.py,118,GET,/healthz/ai-provider,ai_provider_snapshot,business_endpoint
ai_agronomist,services/ai_agronomist/main.py,126,GET,/approvals/pending,list_pending_approvals,business_endpoint
ai_agronomist,services/ai_agronomist/main.py,146,POST,/approvals/approve,approve_tool_request,business_endpoint
ai_agronomist,services/ai_agronomist/main.py,198,POST,/approvals/deny,deny_tool_request,business_endpoint
ai_agronomist,services/ai_agronomist/main.py,244,POST,/approvals/resume,resume_approved_tool,business_endpoint
ai_agronomist,services/ai_agronomist/main.py,288,POST,/prescription/export-preview,prescription_export_preview,business_endpoint
ai_agronomist,services/ai_agronomist/main.py,304,GET,/metrics,metrics,metrics
ai_agronomist,services/ai_agronomist/main.py,323,GET,/readyz,readyz,readiness
ai_agronomist,services/ai_agronomist/main.py,360,POST,/query,query,business_endpoint
ai_agronomist,services/ai_agronomist/main.py,371,POST,/chat,chat,business_endpoint
ai_agronomist,services/ai_agronomist/main.py,382,POST,/explain,explain,business_endpoint
ai_agronomist,services/ai_agronomist/main.py,393,POST,/recommend,recommend,business_endpoint
decision-service,services/decision-service/main.py,501,GET,/healthz,healthz,health
decision-service,services/decision-service/main.py,506,GET,/readyz,readyz,readiness
decision-service,services/decision-service/main.py,543,GET,/v1/cutover/readiness,cutover_readiness,business_endpoint
decision-service,services/decision-service/main.py,553,GET,/contract,contract,contract
decision-service,services/decision-service/main.py,586,POST,/v1/evidence/vegetation-snapshots,create_vegetation_snapshot,business_endpoint
decision-service,services/decision-service/main.py,604,POST,/v1/decisions/record,record_decision,business_endpoint
decision-service,services/decision-service/main.py,669,GET,/v1/decisions/review-queue,review_queue,business_endpoint
