service,domain,python_files,python_loc,tests,routes,main,dockerfile,requirements,risk
actuator-service,IoT Actuation,11,1530,4,6,services/actuator-service/main.py,services/actuator-service/Dockerfile,services/actuator-service/requirements.txt,normal
agriai-engine,AI Advisor,17,1842,5,8,services/agriai-engine/main.py,services/agriai-engine/Dockerfile,services/agriai-engine/requirements.txt,normal
ai_agronomist,AI Advisor,46,6011,1,13,services/ai_agronomist/main.py,services/ai_agronomist/Dockerfile,services/ai_agronomist/requirements.txt,normal
auth,Identity & Access,19,2361,2,29,services/auth/main.py,services/auth/Dockerfile,services/auth/requirements.txt,normal
decision-service,Decision SoR,65,14832,46,70,services/decision-service/main.py,services/decision-service/Dockerfile,services/decision-service/requirements.txt,normal
edge-inference,Edge Inference,9,1112,1,6,services/edge-inference/main.py,services/edge-inference/Dockerfile.arm64,services/edge-inference/requirements.txt,normal
field-management-service,Unclassified / Support,3,454,2,7,services/field-management-service/main.py,services/field-management-service/Dockerfile,services/field-management-service/requirements.txt,normal
field-segmentation,Field Boundary AI,5,1000,2,4,services/field-segmentation/main.py,services/field-segmentation/Dockerfile,services/field-segmentation/requirements.txt,normal
gis-workflow-service,Unclassified / Support,20,1562,9,0,-,-,services/gis-workflow-service/requirements.txt,medium-runtime-contract-gap
guardrails-engine,AI Safety & Governance,13,1564,1,8,services/guardrails-engine/main.py,services/guardrails-engine/Dockerfile,services/guardrails-engine/requirements.txt,normal
indicators-service,Vegetation Analytics,8,742,4,11,services/indicators-service/main.py,services/indicators-service/Dockerfile,services/indicators-service/requirements.txt,normal
knowledge-graph,Edge Inference,2,153,1,7,services/knowledge-graph/main.py,services/knowledge-graph/Dockerfile,services/knowledge-graph/requirements.txt,normal
local-ai-rag,Knowledge Retrieval,2,445,1,5,services/local-ai-rag/main.py,services/local-ai-rag/Dockerfile,services/local-ai-rag/requirements.txt,normal
mcp_servers,Agent Tools,11,2080,1,33,-,services/mcp_servers/Dockerfile,services/mcp_servers/requirements.txt,normal
model-registry-adapter,Unclassified / Support,7,1137,2,0,-,services/model-registry-adapter/Dockerfile,-,medium-runtime-contract-gap
odoo-bridge,ERP Integration,11,1720,2,11,services/odoo-bridge/main.py,services/odoo-bridge/Dockerfile,services/odoo-bridge/requirements.txt,normal
qdrant-seed,Unclassified / Support,4,866,1,0,-,services/qdrant-seed/Dockerfile,services/qdrant-seed/requirements.txt,medium-runtime-contract-gap
rag-retrieval,Knowledge Retrieval,2,135,1,5,services/rag-retrieval/main.py,services/rag-retrieval/Dockerfile,services/rag-retrieval/requirements.txt,normal
raster-service,Imagery & Raster,161,22913,71,82,services/raster-service/main.py,services/raster-service/Dockerfile,services/raster-service/requirements.txt,normal
raster-tiler-service,Imagery & Raster,1,7,0,1,services/raster-tiler-service/main.py,services/raster-tiler-service/Dockerfile,-,high-zero-test-routes
remote-sensing-workspace-bff,Unclassified / Support,2,246,1,3,services/remote-sensing-workspace-bff/main.py,services/remote-sensing-workspace-bff/Dockerfile,services/remote-sensing-workspace-bff/requirements.txt,normal
sahool-platform,Core Field Platform,1123,157791,443,637,services/sahool-platform/api/main.py,services/sahool-platform/Dockerfile,-,critical-core-concentration
sam2-inference,Field Boundary AI,3,534,0,4,services/sam2-inference/main.py,services/sam2-inference/Dockerfile,services/sam2-inference/requirements.txt,high-zero-test-routes
scout-ingest-service,Unclassified / Support,7,2441,3,22,services/scout-ingest-service/main.py,services/scout-ingest-service/Dockerfile,services/scout-ingest-service/requirements.txt,normal
soil-service,Soil Intelligence,50,5540,16,60,services/soil-service/main.py,services/soil-service/Dockerfile,services/soil-service/requirements.txt,normal
supervisor-agent,Agent Orchestration,22,2675,7,11,services/supervisor-agent/main.py,services/supervisor-agent/Dockerfile,services/supervisor-agent/requirements.txt,normal
tts-service,Voice & Notifications,8,784,1,8,services/tts-service/main.py,services/tts-service/Dockerfile,services/tts-service/requirements.txt,normal
vegetation-analysis-service,Vegetation Analytics,40,3804,17,21,services/vegetation-analysis-service/main.py,services/vegetation-analysis-service/Dockerfile,services/vegetation-analysis-service/requirements.txt,normal
video-processor,Video Processing,9,1052,1,11,services/video-processor/main.py,services/video-processor/Dockerfile,services/video-processor/requirements.txt,normal
weather-polygon-worker,Weather Intelligence,2,177,0,0,services/weather-polygon-worker/src/main.py,services/weather-polygon-worker/Dockerfile,services/weather-polygon-worker/requirements.txt,medium-runtime-contract-gap
weather-service,Weather Intelligence,38,6321,19,28,services/weather-service/main.py,services/weather-service/Dockerfile,services/weather-service/requirements.txt,normal
weather-signal-engine,Weather Intelligence,2,115,0,0,services/weather-signal-engine/src/main.py,services/weather-signal-engine/Dockerfile,services/weather-signal-engine/requirements.txt,medium-runtime-contract-gap
